strike,call_gex,put_gex,call_dex,put_dex,net_greek_delta,net_gex
16.5,36492.352,312.93870000000004,454270.28400000004,-529.0018,0.9081473282442749,36179.4133
17.0,86628.7169,1784905.6599,2016792.2831000001,-1125616.6664,0.030050678412963796,-1698276.943
17.5,3399.0368,120194.39600000001,77167.32710000001,-92337.3214,-0.015909799999999995,-116795.3592
18.0,784050.0824,2278996.5829999996,5536012.4185,-1817660.2918999996,0.21109059218360937,-1494946.5005999997
18.5,374677.63430000003,412253.5437,785915.5097999999,-230281.692,0.2583026595744681,-37575.909399999946
19.0,8603308.833400002,5716464.0098,11459050.6777,-5331237.9957,0.18317899897389128,2886844.8236000016
19.5,2195219.2125,1450611.2297,1181571.8604,-2415242.7701000003,-0.15079652680652683,744607.9827999999
20.0,32329818.763600003,5798472.256400001,22448150.3825,-18630423.341700003,0.02360099498968463,26531346.507200003
20.5,1272428.587,56561.62000000001,712758.9851,-257765.7574,0.047227058590657164,1215866.967
21.0,8354382.5931,11167.5827,4484764.366,-293770.2988,0.03916682290459981,8343215.0104
21.5,56406.77160000001,0.0,62709.788,0.0,0.11147118644067797,56406.77160000001
